
EP NTUITE;1-820372
EP3 DITALALA;1-820373
EP2 NZELA MOKO;1-820374
EP 2 MUBABINGE;1-820375
EP LUPEMBA;1-820376
EP MUBATAMBE;1-820379
EP1 KATANGA;1-820381
EP KELE;1-820382
EP SONA;1-820383
EP BABIAMBA;1-820384
EP KAPUPE;1-820385
EP LUKUANGA;1-820386
EP MAFUTA;1-820388
EP1 MBUMBA;1-820389
INST TSHIKULUILA;1-820395
INST MUANGU KHANGA;1-820396
INST TSHISAMBU MUTOMBO;1-820397
INST KENE;1-820399
INST2 MUELA;1-820400
EP KAKUMBA;1-821979
EP KALUPONGO;1-821980
EP KAMINKOLONGO;1-821981
EP KAMPEMPELA;1-821982
EP LUBUMBUDI;1-821983
EP TSHIMUANGA;1-821985
EP TSHIPONGO;1-821986
EP TUDIUNDE;1-821988
EP KASANZU;1-821990
EM CLEMENCE;1-821992
INST KAMBALA KABIENA;1-821994
INST MUPEMBA;1-821995
EP KABEYA LUPEYA;1-822182
INST TSHIPATA;1-822183
EP NZAMBI A MANDE;1-822216
INST NDAMBI;1-822217
EP KAMINKOLONGO -1;1-822219
INST TSUYAMBE;1-822221
EP 1 BAYAWAYA;2-820290
EP2 BAYAWAYA;2-820291
EP1 DIBELAYI;2-820292
EP2 DIBELAYI;2-820293
EP3 DIBELAYI;2-820294
EP TSHIMBU;2-820295
EP 1 TSHINKUNKU;2-820297
EP1 DIENZELAYI;2-820298
EP2 DIENZELAYI;2-820299
EP TSHISENGE;2-820302
EP KANDENGELE;2-820307
EP3 MBUMBA;2-820309
EP2 DIKEBELAYI;2-820313
EP 1 LUPEMBA;2-820319
EP1 BUWETU;2-820322
EP 2 LUENDA;2-820324
INST 1 MABONDO;2-820333
INST 2 MABONDO;2-820334
INST TSHIKANGU;2-820336
ITV KELE;2-820342
INST DIMUKAYI;2-820344
INST1 MUFIKE;2-820347
INST2 MUFIKE/KASALA;2-820348
EP HAKU MBUMBA;4-820053
INST KABONGO KASALA;4-820060
INST2 LUBUWA;4-820061
EP KABIKABI;4-820405
EP TULONGAYI;5-820186
EP KAMABAJI;5-821457
EP2 TUIKALE NE NTEMA;6-820531
EP MAPIA MAPIA;6-820534
EP TSHIMBINDA;6-820535
EP MABONDO;6-820536
EP KABUYI;6-820537
EP MBOMBO;6-820538
EP LUSHIKU;6-820540
EP TSHIASUMA;6-820557
EPASSANI BARAKA;6-820558
INST TSHIKAPA KELE;6-820562
INST DISUMININA;6-820563
INST MUDIANDAMBU;6-820564
EP LUBUDI;6-820919
EP PAPA REPH;6-824411
EP E. ROBERT;6-824421
EP PANU BUIMPE;6-824422
EP NKUMINA;6-824424
EP TSHIBUELA;6-824425
EP VERONIQUE;6-824426
EP KUAMBA KUA YESU;6-824428
EP2 LUDIDI;6-824429
EP PABU 14;6-824431
EP MADINGU;6-824433
INST BANANUKIDI/ERMECO;6-824664
INST MUANGU;6-824729
EP MBULA MPUTU;6-824730
INST NDONGOLOLA;6-824733
EP TSHILOMBA;6-824793
EP2 LUSE;6-824809
EP1 LUSE;6-824810
EP KABANGE;6-824811
EP KANDENGELE;6-824812
EP CHRIST SAUVEUR 0271/2011;6-824813
EP1 TUIKALE NE NTEMA;6-824814
EP1 LUNYANYA;6-824815
EP TSHIPANGAMA;6-824816
EP LUTONDO;6-824817
EP MALAYA;6-824818
EP DISANKA;6-824819
EP NSANGA;6-824820
EP DIBUE DIETU;6-824821
EP KANGULUBE;6-824822
EP LA CHARITE;6-824823
EP LES AIGLES BLANC;6-824824
EP MUFUKI;6-824825
EP KALELESA;6-824826
EP MUNGENDO KABULA;6-824827
INST NGOPIEMA;6-824828
INST KITAMBA DANIEL;6-824829
CS NSANGA BANTU;7-820148
COL SAINT ELIEZER;7-820149
CS D'ELITES KABU;7-820150
CS MUFUKI MUNENE;7-820152
CS LA TRIOMPHANTE 2;7-820153
CS ALLIANCE RENOVEE;7-820156
CS SADEN;7-820157
CS BOBUMUE BUETU;7-820158
CS LE GENIE;7-820159
CS TRESOR;7-820160
CS1 BUDIKADIDI;7-820163
CS TSHIASUMA;7-820164
CS DIKU DIETU;7-820165
CS TULUBULUKE;7-820166
CS TUDIAKUILE;7-822151
CS LUMIERE DES NATIONS;7-822153
CS LA BORNE KELE;7-822154
EP2 DIEU EST BON;9-820495
EM2 REVEILLE TOI;9-820496
EP KANOWA;9-820504
INST LUSIANA;9-820505
